firstareacode,firstareaname,firstareaname_kn
011000,宗谷地方,そうやちほう
012010,上川地方,かみかわちほう
012020,留萌地方,るもいちほう
013010,網走地方,あばしりちほう
013020,北見地方,きたみちほう
013030,紋別地方,もんべつちほう
014010,根室地方,ねむろちほう
014020,釧路地方,くしろちほう
014030,十勝地方,とかちちほう
015010,胆振地方,いぶりちほう
015020,日高地方,ひだかちほう
016010,石狩地方,いしかりちほう
016020,空知地方,そらちちほう
016030,後志地方,しりべしちほう
017010,渡島地方,おしまちほう
017020,檜山地方,ひやまちほう
020010,津軽,つがる
020020,下北,しもきた
020030,三八上北,さんぱちかみきた
030010,内陸,ないりく
030020,沿岸北部,えんがんほくぶ
030030,沿岸南部,えんがんなんぶ
040010,東部,とうぶ
040020,西部,せいぶ
050010,沿岸,えんがん
050020,内陸,ないりく
060010,村山,むらやま
060020,置賜,おきたま
060030,庄内,しょうない
060040,最上,もがみ
070010,中通り,なかどおり
070020,浜通り,はまどおり
070030,会津,あいづ
080010,北部,ほくぶ
080020,南部,なんぶ
090010,南部,なんぶ
090020,北部,ほくぶ
100010,南部,なんぶ
100020,北部,ほくぶ
110010,南部,なんぶ
110020,北部,ほくぶ
110030,秩父地方,ちちぶちほう
120010,北西部,ほくせいぶ
120020,北東部,ほくとうぶ
120030,南部,なんぶ
130010,東京地方,とうきょうちほう
130020,伊豆諸島北部,いずしょとうほくぶ
130030,伊豆諸島南部,いずしょとうなんぶ
130040,小笠原諸島,おがさわらしょとう
140010,東部,とうぶ
140020,西部,せいぶ
150010,下越,かえつ
150020,中越,ちゅうえつ
150030,上越,じょうえつ
150040,佐渡,さど
160010,東部,とうぶ
160020,西部,せいぶ
170010,加賀,かが
170020,能登,のと
180010,嶺北,れいほく
180020,嶺南,れいなん
190010,中・西部,ちゅうせいぶ
190020,東部・富士五湖,とうぶふじごこ
200010,北部,ほくぶ
200020,中部,ちゅうぶ
200030,南部,なんぶ
210010,美濃地方,みのちほう
210020,飛騨地方,ひだちほう
220010,中部,ちゅうぶ
220020,伊豆,いず
220030,東部,とうぶ
220040,西部,せいぶ
230010,西部,せいぶ
230020,東部,とうぶ
240010,北中部,ほくちゅうぶ
240020,南部,なんぶ
250010,南部,なんぶ
250020,北部,ほくぶ
260010,南部,なんぶ
260020,北部,ほくぶ
270000,大阪府,おおさかふ
280010,南部,なんぶ
280020,北部,ほくぶ
290010,北部,ほくぶ
290020,南部,なんぶ
300010,北部,ほくぶ
300020,南部,なんぶ
310010,東部,とうぶ
310020,中・西部,ちゅうせいぶ
320010,東部,とうぶ
320020,西部,せいぶ
320030,隠岐,おき
330010,南部,なんぶ
330020,北部,ほくぶ
340010,南部,なんぶ
340020,北部,ほくぶ
350010,西部,せいぶ
350020,中部,ちゅうぶ
350030,東部,とうぶ
350040,北部,ほくぶ
360010,北部,ほくぶ
360020,南部,なんぶ
370000,香川県,かがわけん
380010,中予,ちゅうよ
380020,東予,とうよ
380030,南予,なんよ
390010,中部,ちゅうぶ
390020,東部,とうぶ
390030,西部,せいぶ
400010,福岡地方,ふくおかちほう
400020,北九州地方,きたきゅうしゅうちほう
400030,筑豊地方,ちくほうちほう
400040,筑後地方,ちくごちほう
410010,南部,なんぶ
410020,北部,ほくぶ
420010,南部,なんぶ
420020,北部,ほくぶ
420030,壱岐・対馬,いきつしま
420040,五島,ごとう
430010,熊本地方,くまもとちほう
430020,阿蘇地方,あそちほう
430030,天草・芦北地方,あまくさあしきたちほう
430040,球磨地方,くまちほう
440010,中部,ちゅうぶ
440020,北部,ほくぶ
440030,西部,せいぶ
440040,南部,なんぶ
450010,南部平野部,なんぶへいやぶ
450020,北部平野部,ほくぶへいやぶ
450030,南部山沿い,なんぶやまぞい
450040,北部山沿い,ほくぶやまぞい
460010,薩摩地方,さつまちほう
460020,大隅地方,おおすみちほう
460030,種子島・屋久島地方,たねがしまやくしまちほう
460040,奄美地方,あまみちほう
471010,本島中南部,ほんとうちゅうなんぶ
471020,本島北部,ほんとうほくぶ
471030,久米島,くめじま
472000,大東島地方,だいとうじまちほう
473000,宮古島地方,みやこじまちほう
474010,石垣島地方,いしがきじまちほう
474020,与那国島地方,よなぐにじまちほう
