citycode,cityname,cityname_kn,matomeareacode,matomeareaname,matomeareaname_kn,firstareacode,firstareaname,firstareaname_kn,prefcode,prefname,prefname_kn
0110000,札幌市,さっぽろし,016012,石狩中部,いしかりちゅうぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0120200,函館市,はこだてし,017012,渡島東部,おしまとうぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
0120300,小樽市,おたるし,016031,後志北部,しりべしほくぶ,016030,後志地方,しりべしちほう,016030,後志地方,しりべしちほう
0120400,旭川市,あさひかわし,012012,上川中部,かみかわちゅうぶ,012010,上川地方,かみかわちほう,012010,上川地方,かみかわちほう
0120500,室蘭市,むろらんし,015012,胆振中部,いぶりちゅうぶ,015010,胆振地方,いぶりちほう,015010,胆振地方,いぶりちほう
0120601,釧路市釧路,くしろしくしろ,014024,釧路南西部,くしろなんせいぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0120602,釧路市阿寒,くしろしあかん,014022,釧路中部,くしろちゅうぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0120603,釧路市音別,くしろしおんべつ,014024,釧路南西部,くしろなんせいぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0120700,帯広市,おびひろし,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0120801,北見市北見,きたみしきたみ,013020,北見地方,きたみちほう,013020,北見地方,きたみちほう,013000,網走・北見・紋別地方,あばしりきたみもんべつちほう
0120802,北見市常呂,きたみしところ,013011,網走西部,あばしりせいぶ,013010,網走地方,あばしりちほう,013000,網走・北見・紋別地方,あばしりきたみもんべつちほう
0120900,夕張市,ゆうばりし,016023,南空知,みなみそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0121000,岩見沢市,いわみざわし,016023,南空知,みなみそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0121100,網走市,あばしりし,013011,網走西部,あばしりせいぶ,013010,網走地方,あばしりちほう,013000,網走・北見・紋別地方,あばしりきたみもんべつちほう
0121200,留萌市,るもいし,012023,留萌南部,るもいなんぶ,012020,留萌地方,るもいちほう,012020,留萌地方,るもいちほう
0121300,苫小牧市,とまこまいし,015012,胆振中部,いぶりちゅうぶ,015010,胆振地方,いぶりちほう,015010,胆振地方,いぶりちほう
0121400,稚内市,わっかないし,011011,宗谷北部,そうやほくぶ,011000,宗谷地方,そうやちほう,011000,宗谷地方,そうやちほう
0121500,美唄市,びばいし,016023,南空知,みなみそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0121600,芦別市,あしべつし,016022,中空知,なかそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0121700,江別市,えべつし,016012,石狩中部,いしかりちゅうぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0121800,赤平市,あかびらし,016022,中空知,なかそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0121900,紋別市,もんべつし,013031,紋別北部,もんべつほくぶ,013030,紋別地方,もんべつちほう,013000,網走・北見・紋別地方,あばしりきたみもんべつちほう
0122000,士別市,しべつし,012011,上川北部,かみかわほくぶ,012010,上川地方,かみかわちほう,012010,上川地方,かみかわちほう
0122100,名寄市,なよろし,012011,上川北部,かみかわほくぶ,012010,上川地方,かみかわちほう,012010,上川地方,かみかわちほう
0122200,三笠市,みかさし,016023,南空知,みなみそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0122300,根室市,ねむろし,014013,根室南部,ねむろなんぶ,014010,根室地方,ねむろちほう,014010,根室地方,ねむろちほう
0122400,千歳市,ちとせし,016013,石狩南部,いしかりなんぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0122500,滝川市,たきかわし,016022,中空知,なかそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0122600,砂川市,すながわし,016022,中空知,なかそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0122700,歌志内市,うたしないし,016022,中空知,なかそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0122800,深川市,ふかがわし,016021,北空知,きたそらち,016020,空知地方,そらちちほう,016020,空知地方,そらちちほう
0122900,富良野市,ふらのし,012013,上川南部,かみかわなんぶ,012010,上川地方,かみかわちほう,012010,上川地方,かみかわちほう
0123000,登別市,のぼりべつし,015012,胆振中部,いぶりちゅうぶ,015010,胆振地方,いぶりちほう,015010,胆振地方,いぶりちほう
0123100,恵庭市,えにわし,016013,石狩南部,いしかりなんぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0123301,伊達市伊達,だてしだて,015011,胆振西部,いぶりせいぶ,015010,胆振地方,いぶりちほう,015010,胆振地方,いぶりちほう
0123302,伊達市大滝,だてしおおたき,015011,胆振西部,いぶりせいぶ,015010,胆振地方,いぶりちほう,015010,胆振地方,いぶりちほう
0123400,北広島市,きたひろしまし,016013,石狩南部,いしかりなんぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0123500,石狩市,いしかりし,016011,石狩北部,いしかりほくぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0123600,北斗市,ほくとし,017012,渡島東部,おしまとうぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
0130300,当別町,とうべつちょう,016011,石狩北部,いしかりほくぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0130400,新篠津村,しんしのつむら,016011,石狩北部,いしかりほくぶ,016010,石狩地方,いしかりちほう,016010,石狩地方,いしかりちほう
0133100,松前町,まつまえちょう,017013,渡島西部,おしませいぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
0133200,福島町,ふくしまちょう,017013,渡島西部,おしませいぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
0133300,知内町,しりうちちょう,017013,渡島西部,おしませいぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
0133400,木古内町,きこないちょう,017013,渡島西部,おしませいぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
0133700,七飯町,ななえちょう,017012,渡島東部,おしまとうぶ,017010,渡島地方,おしまちほう,017010,渡島地方,おしまちほう
