matomeareacode,matomeareaname,matomeareaname_kn
011011,宗谷北部,そうやほくぶ
011012,宗谷南部,そうやなんぶ
011013,利尻・礼文,りしりれぶん
012011,上川北部,かみかわほくぶ
012012,上川中部,かみかわちゅうぶ
012013,上川南部,かみかわなんぶ
012021,留萌北部,るもいほくぶ
012022,留萌中部,るもいちゅうぶ
012023,留萌南部,るもいなんぶ
013011,網走西部,あばしりせいぶ
013012,網走東部,あばしりとうぶ
013013,網走南部,あばしりなんぶ
013020,北見地方,きたみちほう
013031,紋別北部,もんべつほくぶ
013032,紋別南部,もんべつなんぶ
014011,根室北部,ねむろほくぶ
014012,根室中部,ねむろちゅうぶ
014013,根室南部,ねむろなんぶ
014021,釧路北部,くしろほくぶ
014022,釧路中部,くしろちゅうぶ
014023,釧路南東部,くしろなんとうぶ
014024,釧路南西部,くしろなんせいぶ
014031,十勝北部,とかちほくぶ
014032,十勝中部,とかちちゅうぶ
014033,十勝南部,とかちなんぶ
015011,胆振西部,いぶりせいぶ
015012,胆振中部,いぶりちゅうぶ
015013,胆振東部,いぶりとうぶ
015021,日高西部,ひだかせいぶ
015022,日高中部,ひだかちゅうぶ
015023,日高東部,ひだかとうぶ
016011,石狩北部,いしかりほくぶ
016012,石狩中部,いしかりちゅうぶ
016013,石狩南部,いしかりなんぶ
016021,北空知,きたそらち
016022,中空知,なかそらち
016023,南空知,みなみそらち
016031,後志北部,しりべしほくぶ
016032,羊蹄山麓,ようていさんろく
016033,後志西部,しりべしせいぶ
017011,渡島北部,おしまほくぶ
017012,渡島東部,おしまとうぶ
017013,渡島西部,おしませいぶ
017021,檜山北部,ひやまほくぶ
017022,檜山南部,ひやまなんぶ
017023,檜山奥尻島,ひやまおくしりとう
020011,東青津軽,とうせいつがる
020012,北五津軽,きたごつがる
020013,西津軽,にしつがる
020014,中南津軽,ちゅうなんつがる
020020,下北,しもきた
020031,三八,さんぱち
020032,上北,かみきた
030011,盛岡地域,もりおかちいき
030012,二戸地域,にのへちいき
030013,花北地域,はなきたちいき
030014,遠野地域,とおのちいき
030015,奥州金ケ崎地域,おうしゅうかねがさきちいき
030016,両磐地域,りょうばんちいき
030021,久慈地域,くじちいき
030022,宮古地域,みやこちいき
030031,釜石地域,かまいしちいき
030032,大船渡地域,おおふなとちいき
040011,東部仙台,とうぶせんだい
040012,石巻地域,いしのまきちいき
040013,東部大崎,とうぶおおさき
040014,気仙沼地域,けせんぬまちいき
040015,東部仙南,とうぶせんなん
040016,登米・東部栗原,とめとうぶくりはら
040021,西部仙台,せいぶせんだい
040022,西部仙南,せいぶせんなん
040023,西部大崎,せいぶおおさき
040024,西部栗原,せいぶくりはら
050011,秋田中央地域,あきたちゅうおうちいき
050012,能代山本地域,のしろやまもとちいき
050013,本荘由利地域,ほんじょうゆりちいき
050021,北秋鹿角地域,ほくしゅうかづのちいき
050022,仙北平鹿地域,せんぼくひらかちいき
050023,湯沢雄勝地域,ゆざわおがちちいき
060011,東南村山,とうなんむらやま
060012,北村山,きたむらやま
060013,西村山,にしむらやま
060021,東南置賜,とうなんおきたま
060022,西置賜,にしおきたま
060031,庄内北部,しょうないほくぶ
060032,庄内南部,しょうないなんぶ
060040,最上,もがみ
070011,中通り北部,なかどおりほくぶ
070012,中通り中部,なかどおりちゅうぶ
070013,中通り南部,なかどおりなんぶ
070021,浜通り北部,はまどおりほくぶ
070022,浜通り中部,はまどおりちゅうぶ
